run_tag,lambda_gb,g2,selfinteraction,a_mg,b_mg,chi0,coupling,perturbation,width,T,num_points_t,r_max,min_dr,max_dr,num_grid_points,wall_time_s,solver_success,t_crash,solver_message,has_solution,has_diagnostics,has_eft_diagnostics,size_bytes
lgb20_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g212,,,,,,,,,,,,,,,,,,,,False,False,False,0
lgb20_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g216,20.0,16.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,583.5914468765259,False,3.3370033237247463,Required step size is less than spacing between numbers.,True,True,False,172637
lgb20_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g220,20.0,20.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,314.0193679332733,False,3.4116521712113586,Required step size is less than spacing between numbers.,True,True,False,172637
lgb20_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g24,20.0,4.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,159.0709879398346,False,3.152733504941167,Required step size is less than spacing between numbers.,True,True,False,140837
lgb20_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g28,20.0,8.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,246.92855262756348,False,3.2568844602747813,Required step size is less than spacing between numbers.,True,True,False,172637
lgb20_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_rampOn_g20,20.0,0.0,0.08,0.0,0.0,0.15,quadratic_0_rampOn,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,16244.007534742355,False,323.49229216482183,Required step size is less than spacing between numbers.,True,True,False,12892665
lgb25.0_mu0.08_a0.2_b0.4_amp-0.02_R3_dr0.0625_quadratic_10,25.0,,0.08,0.2,0.4,0.15,quadratic_10,-0.02,3,800.0,1000,150,0.0625,2,216,905.5875761508942,False,3.633579535943171,Required step size is less than spacing between numbers.,True,True,False,151675
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g210,2.0,10.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11479.493357181549,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g212,2.0,12.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11498.800440073013,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g214,2.0,14.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11501.195949792862,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
lgb2_mu0.08_a0_b0_amp-0.02_R3_dr0.0416667_quadratic_0_g216,2.0,16.0,0.08,0.0,0.0,0.15,quadratic_0,-0.02,3.0,800.0,1000,150,0.041666666666666664,2,220,11490.933997154236,True,-1.0,The solver successfully reached the end of the integration interval.,True,True,False,31813685
